  PID TTY      STAT   TIME COMMAND
 1825 tty2     Sl+    0:50 /usr/share/spotify/spotify --type=renderer --no-sandbox --log-file=/usr/share/spotify/debug.log --field-trial-handle=12486320411845150321,4618363745908804962,131072 --disable-features=ExtendedMouseButtons,NetworkService --lang=es --log-file=/usr/share/spotify/debug.log --log-severity=disable --product-version=Spotify/1.1.10.546 --disable-spell-checking --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=9221775588434593163 --renderer-client-id=3 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 1850 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-http --spawner :1.7 /org/gtk/gvfs/exec_spaw/1
 1936 tty2     Sl+    0:00 update-notifier
 1939 tty2     SLl+   0:03 /usr/bin/gnome-software --gapplication-service
 2174 tty2     Sl+    0:00 /usr/lib/deja-dup/deja-dup-monitor
 2931 tty2     Sl+    2:38 /usr/lib/firefox/firefox -new-window
 2983 tty2     Sl+    2:42 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 210436 -parentBuildID 20200217142647 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2931 true tab
 3031 tty2     Sl+    0:09 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 6226 -prefMapSize 210436 -parentBuildID 20200217142647 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2931 true tab
 3110 tty2     Sl+    0:33 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 6958 -prefMapSize 210436 -parentBuildID 20200217142647 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2931 true tab
 3168 tty2     Sl+    0:22 /usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 6958 -prefMapSize 210436 -parentBuildID 20200217142647 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2931 true tab
 3321 tty2     Sl+    0:00 /usr/lib/firefox/firefox -contentproc -parentBuildID 20200217142647 -prefsLen 7005 -prefMapSize 210436 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2931 true rdd
 3339 tty2     Sl+    0:22 /usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 7005 -prefMapSize 210436 -parentBuildID 20200217142647 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2931 true tab
 3427 ?        Ssl    0:07 /usr/lib/gnome-terminal/gnome-terminal-server
 3437 pts/0    Ss     0:00 bash
 3462 pts/1    Ss     0:00 bash
 3672 pts/1    S+     0:00 vim Ariketak_proz
 3749 tty2     Sl+    0:05 /usr/lib/firefox/firefox -contentproc -childID 10 -isForBrowser -prefsLen 7054 -prefMapSize 210436 -parentBuildID 20200217142647 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2931 true tab
 4000 tty2     Sl+    0:00 /usr/lib/firefox/firefox -contentproc -childID 11 -isForBrowser -prefsLen 7054 -prefMapSize 210436 -parentBuildID 20200217142647 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2931 true tab
 4054 tty2     Sl+    0:00 /usr/lib/firefox/firefox -contentproc -childID 12 -isForBrowser -prefsLen 7054 -prefMapSize 210436 -parentBuildID 20200217142647 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2931 true tab
 4098 pts/0    R+     0:00 ps -x
 4099 pts/0    S+     0:00 tee -a irteera.txt
